date,ticker,name,asset_type,country_iso3,sector,weight %,growth weight %,base q50 %,shock q50 %,shock q05 %
2024-12-31,INTC,Intel,stock,USA,Technology,19.5505,10.9206,49.0231,46.3030,-7.9619
2024-12-31,SHOP,Shopify,stock,CAN,Technology,5.5375,16.9994,55.6610,38.7049,-26.4036
2024-12-31,OR.PA,L'Oreal,stock,FRA,Consumer Staples,4.0650,1.6071,20.2796,20.2769,-4.1359
2024-12-31,ASML,ASML,stock,NLD,Technology,3.8839,2.7449,28.3094,27.4279,-12.4100
2024-12-31,EDEN,Denmark,country_etf,DNK,Broad Market,3.2800,2.5625,27.2782,29.2569,-15.3438
2024-12-31,EWG,Germany,country_etf,DEU,Broad Market,3.1758,1.1553,15.3285,20.1497,-5.2996
2024-12-31,MSFT,Microsoft,stock,USA,Technology,3.1752,2.2899,25.5908,25.7259,-13.2216
2024-12-31,AAPL,Apple,stock,USA,Technology,2.9321,2.5321,27.0992,31.8255,-18.2204
2024-12-31,SAP,SAP SE,stock,DEU,Technology,2.4767,0.9526,12.4353,19.7433,-7.3790
2024-12-31,AZN,AstraZeneca,stock,GBR,Healthcare,2.2932,1.4076,18.2917,18.2917,-10.7362
2024-12-31,0700.HK,Tencent,stock,CHN,Communication Services,2.1663,2.7820,28.5110,27.1476,-21.1277
2024-12-31,RELIANCE.NS,Reliance,stock,IND,Energy,2.1261,1.7064,21.1795,22.2463,-15.2927
2024-12-31,9988.HK,Alibaba,stock,CHN,Consumer Discretionary,1.7913,1.8942,22.7449,23.9952,-19.5197
2024-12-31,MC.PA,LVMH,stock,FRA,Consumer Discretionary,1.7299,1.1403,15.1324,15.1324,-11.8050
2024-12-31,EWL,Switzerland,country_etf,CHE,Broad Market,1.7094,0.9582,12.5224,14.7822,-10.5040
2024-12-31,TCS.NS,Tata Consultancy,stock,IND,Technology,1.5934,1.2911,16.9958,11.5329,-12.1706
2024-12-31,2330.TW,TSMC,stock,TWN,Technology,1.5392,1.8366,22.2817,19.4978,-19.3143
2024-12-31,AVGO,Broadcom,stock,USA,Technology,1.4659,1.3242,17.3760,17.5990,-16.6439
