date,ticker,score_resilient,score_growth,w_resilient,w_growth,name,asset_type,country_iso3,sector,q50_base,q50_shock,q05_shock,forward_return_12m
2024-01-31,000660.KS,-0.201751,0.036343,0.003179,0.004975,SK Hynix,stock,KOR,Technology,0.036343,0.123942,-0.281893,0.485635
2024-01-31,005930.KS,0.014584,0.104935,0.013446,0.007859,Samsung Electronics,stock,KOR,Technology,0.104935,0.174502,-0.125135,-0.263657
2024-01-31,0700.HK,0.241342,0.403228,0.060971,0.057415,Tencent,stock,CHN,Communication Services,0.403228,0.392409,-0.156476,0.498420
2024-01-31,1398.HK,-0.309381,-0.056999,0.001551,0.002670,ICBC,stock,CHN,Financials,-0.056999,-0.023126,-0.269319,0.537068
2024-01-31,2317.TW,-0.088675,0.118482,0.006755,0.008602,Hon Hai (Foxconn),stock,TWN,Technology,0.118482,0.125151,-0.210491,0.801126
2024-01-31,2330.TW,0.069125,0.249325,0.019342,0.020579,TSMC,stock,TWN,Technology,0.249325,0.167106,-0.139090,0.837946
2024-01-31,6758.T,-0.081404,0.074384,0.007090,0.006411,Sony,stock,JPN,Technology,0.074384,0.157940,-0.197566,0.178607
2024-01-31,6861.T,0.194647,0.223874,0.044660,0.017368,Keyence,stock,JPN,Technology,0.223874,0.283170,-0.058875,0.014972
2024-01-31,7203.T,-0.282258,-0.118293,0.001858,0.001774,Toyota,stock,JPN,Consumer Discretionary,-0.118293,-0.022785,-0.211719,0.017812
2024-01-31,9984.T,-0.079179,0.086659,0.007196,0.006958,SoftBank,stock,JPN,Communication Services,0.086659,0.187393,-0.216205,0.463984
2024-01-31,9988.HK,0.142754,0.277273,0.031599,0.024794,Alibaba,stock,CHN,Consumer Discretionary,0.277273,0.288699,-0.140232,0.273766
2024-01-31,AAPL,0.100915,0.289976,0.023908,0.026985,Apple,stock,USA,Technology,0.289976,0.277825,-0.182985,0.286096
2024-01-31,AIR.PA,-0.262642,0.122683,0.002118,0.008846,Airbus,stock,FRA,Industrials,0.122683,0.132990,-0.390478,0.150406
2024-01-31,ALV.DE,-0.019890,0.058926,0.010685,0.005783,Allianz,stock,DEU,Financials,0.058926,0.137484,-0.118095,0.336446
2024-01-31,AMAT,-0.136464,0.143898,0.004912,0.010190,Applied Materials,stock,USA,Technology,0.143898,0.120173,-0.268500,0.106259
2024-01-31,AMD,-0.079331,0.259723,0.007189,0.022056,Advanced Micro Devices,stock,USA,Technology,0.259723,0.252620,-0.335503,-0.308546
2024-01-31,AMX,-0.145947,0.089537,0.004611,0.007092,America Movil,stock,MEX,Communication Services,0.089537,0.107244,-0.244338,-0.200396
2024-01-31,ARGT,-0.360603,-0.069843,0.001102,0.002451,Argentina,country_etf,ARG,Broad Market,-0.069843,-0.057268,-0.297047,0.675659
